"uniqueID";"item";"self_A";"other_A";"self_B";"other_B";"choice_self";"choice_other";"optionSide";"count_trials"
13;"9";"+0,00";"+2,73";"-0,41";"+2,41";0;273;"A_left";15
13;"7";"+1,00";"+3,00";"+0,48";"+2,93";48;293;"A_left";16
13;"19";"+1,00";"-1,00";"+1,52";"-0,93";100;-100;"A_left";17
13;"13";"-1,00";"+1,00";"-0,93";"+0,48";-93;48;"B_left";18
13;"23";"+2,73";"-0,00";"+2,93";"+0,48";293;48;"A_left";19
13;"4";"+2,41";"+2,41";"+2,00";"+2,73";200;273;"A_left";20
13;"5";"+2,00";"+2,73";"+1,52";"+2,93";200;273;"B_left";21
13;"1";"+3,00";"+1,00";"+2,93";"+1,52";300;100;"A_left";22
13;"21";"+2,00";"-0,73";"+2,41";"-0,41";241;-41;"B_left";23
14;"15";"-0,73";"-0,00";"-0,41";"-0,41";-41;-41;"B_left";0
14;"12";"-0,93";"+1,52";"-1,00";"+1,00";-93;152;"B_left";1
14;"4";"+2,41";"+2,41";"+2,00";"+2,73";241;241;"B_left";2
14;"5";"+2,00";"+2,73";"+1,52";"+2,93";200;273;"A_left";3
14;"3";"+2,73";"+2,00";"+2,41";"+2,41";241;241;"B_left";4
14;"6";"+1,52";"+2,93";"+1,00";"+3,00";152;293;"B_left";5
14;"2";"+2,93";"+1,52";"+2,73";"+2,00";293;152;"A_left";6
14;"1";"+3,00";"+1,00";"+2,93";"+1,52";293;152;"B_left";7
14;"11";"-0,73";"+2,00";"-0,93";"+1,52";-73;200;"A_left";8
14;"20";"+1,52";"-0,93";"+2,00";"-0,73";200;-73;"B_left";9
14;"19";"+1,00";"-1,00";"+1,52";"-0,93";152;-93;"A_left";10
14;"22";"+2,41";"-0,41";"+2,73";"-0,00";273;0;"A_left";11
14;"16";"-0,41";"-0,41";"-0,00";"-0,73";-41;-41;"B_left";12
14;"23";"+2,73";"-0,00";"+2,93";"+0,48";273;0;"B_left";13
14;"13";"-1,00";"+1,00";"-0,93";"+0,48";-100;100;"A_left";14
14;"8";"+0,48";"+2,93";"+0,00";"+2,73";48;293;"A_left";15
14;"7";"+1,00";"+3,00";"+0,48";"+2,93";100;300;"A_left";16
14;"24";"+2,93";"+0,48";"+3,00";"+1,00";300;100;"B_left";17
14;"9";"+0,00";"+2,73";"-0,41";"+2,41";0;273;"A_left";18
14;"17";"-0,00";"-0,73";"+0,48";"-0,93";48;-93;"A_left";19
14;"18";"+0,48";"-0,93";"+1,00";"-1,00";100;-100;"B_left";20
14;"21";"+2,00";"-0,73";"+2,41";"-0,41";241;-41;"B_left";21
14;"14";"-0,93";"+0,48";"-0,73";"-0,00";-73;0;"B_left";22
14;"10";"-0,41";"+2,41";"-0,73";"+2,00";-73;200;"B_left";23
15;"4";"+2,41";"+2,41";"+2,00";"+2,73";241;241;"B_left";0
15;"19";"+1,00";"-1,00";"+1,52";"-0,93";152;-93;"B_left";1
15;"11";"-0,73";"+2,00";"-0,93";"+1,52";-73;200;"B_left";2
